id,name,region,category,lat,lng,has_image,image_source,image_url,image_thumbnail,image_page,image_title,image_verified,image_verification_score,image_verification_max,image_rejected_count,image_was_new,image_reject_reasons,v1_license,v2_metadata,v3_safe,v4_gps,v5_vision
p0,Preikestolen,Rogaland,viewpoint,58.98645,6.18866,False,,,,,,False,0,5,5,False,"Preikestolen: L1: Unknown or restricted license: ; Forsand, Norway - panoramio (1).jpg: L1: Unknown or restricted license: cc by-sa 3.0; Steep Cliff of Preikstolen - 2013.08 - panoramio.jpg: L1: Unknown or restricted license: cc by 3.0",,,,,
p1,Kjeragbolten,Rogaland,viewpoint,59.03373,6.59327,False,,,,,,False,0,5,5,False,Kjeragbolten: L1: Unknown or restricted license: ; Kjerag Panorama wide (4962881959).jpg: L1: Unknown or restricted license: cc by-sa 2.0; Nesatindane (984 moh). Opp mot.jpg: L1: Unknown or restricted license: cc by-sa 4.0,,,,,
p2,Himakånå,Rogaland,viewpoint,59.35815,5.81145,False,,,,,,False,0,5,0,False,,,,,,
p3,Månafossen,Rogaland,waterfall,58.85784,6.38473,False,,,,,,False,0,5,0,False,,,,,,
p4,Jæren: Orrestranda,Rogaland,beach,58.72458,5.52049,False,,,,,,False,0,5,0,False,,,,,,
p5,Trolltunga,Hardanger,viewpoint,60.13296,6.754,False,,,,,,False,0,5,1,False,Trolltunga: L1: Unknown or restricted license: ,,,,,
p6,Vøringsfossen,Hardanger,waterfall,60.42705,7.25088,False,,,,,,False,0,5,0,False,,,,,,
p7,Låtefossen,Hardanger,waterfall,59.9479,6.58476,False,,,,,,False,0,5,0,False,,,,,,
p8,Steinsdalsfossen,Hardanger,waterfall,60.37079,6.10288,False,,,,,,False,0,5,0,False,,,,,,
p9,Bondhusvatnet,Hardanger,lake,60.08689,6.28667,False,,,,,,False,0,5,0,False,,,,,,
p10,Buarbreen,Hardanger,glacier,60.04456,6.47734,False,,,,,,False,0,5,0,False,,,,,,
p11,Dronningstien,Hardanger,viewpoint,60.36533,6.7049,False,,,,,,False,0,5,0,False,,,,,,
p12,Langfoss,Sunnhordland,waterfall,59.84051,6.34065,False,,,,,,False,0,5,5,False,Langfossen: L1: Unknown or restricted license: ; Langfossen1.jpg: L1: Unknown or restricted license: cc by-sa 2.0; Langfoss waterfall.jpg: L1: Unknown or restricted license: cc by-sa 2.0,,,,,
p13,Åkrasanden,Rogaland,beach,59.2523,5.19716,False,,,,,,False,0,5,0,False,,,,,,
p14,Nærøyfjord – Bakka,Sogn,fjord,60.9163,6.8689,False,,,,,,False,0,5,0,False,,,,,,
p15,Stegastein,Sogn,viewpoint,60.90863,7.21177,False,,,,,,False,0,5,0,False,,,,,,
p16,Brekkefossen,Sogn,waterfall,60.85229,7.09929,False,,,,,,False,0,5,0,False,,,,,,
p17,Nigardsbreen,Sogn,glacier,61.68809,7.19445,False,,,,,,False,0,5,0,False,,,,,,
p18,Feigefossen,Sogn,waterfall,61.3806,7.4424,False,,,,,,False,0,5,0,False,,,,,,
p19,Vettisfossen,Sogn,waterfall,61.37983,7.946,False,,,,,,False,0,5,0,False,,,,,,
p20,Molden,Sogn,viewpoint,61.34515,7.31632,False,,,,,,False,0,5,0,False,,,,,,
p21,Besseggen,Jotunheimen,viewpoint,61.50293,8.72683,False,,,,,,False,0,5,0,False,,,,,,
p22,Galdhøpiggen,Jotunheimen,viewpoint,61.63647,8.31244,False,,,,,,False,0,5,0,False,,,,,,
p23,Gjende – Gjendesheim,Jotunheimen,lake,61.49541,8.80956,False,,,,,,False,0,5,0,False,,,,,,
p24,Knutshøe,Jotunheimen,viewpoint,61.48,8.75492,False,,,,,,False,0,5,0,False,,,,,,
p25,Sognefjellet: Mefjellet,Jotunheimen,scenic_road,61.5586,7.95577,False,,,,,,False,0,5,0,False,,,,,,
p26,Briksdalsbreen,Nordfjord,glacier,61.66405,6.89153,False,,,,,,False,0,5,0,False,,,,,,
p27,Kjenndalsbreen,Nordfjord,glacier,61.72279,7.01439,False,,,,,,False,0,5,0,False,,,,,,
p28,Lovatnet,Nordfjord,lake,61.81854,6.9667,False,,,,,,False,0,5,0,False,,,,,,
p29,Rakssetra,Nordfjord,viewpoint,61.88527,6.77559,False,,,,,,False,0,5,0,False,,,,,,
p30,Skåla,Nordfjord,viewpoint,61.86833,6.96596,False,,,,,,False,0,5,0,False,,,,,,
p31,Vestkapp,Nordfjord,beach,62.1872,5.12885,False,,,,,,False,0,5,0,False,,,,,,
p32,Refviksanden,Nordfjord,beach,62.00366,5.08892,False,,,,,,False,0,5,0,False,,,,,,
p33,Kannesteinen,Nordfjord,beach,61.97038,5.06916,False,,,,,,False,0,5,0,False,,,,,,
p34,Geirangerfjord: Flydalsjuvet,Sunnmøre,fjord,62.08987,7.22315,False,,,,,,False,0,5,0,False,,,,,,
p35,Dalsnibba,Sunnmøre,viewpoint,62.04785,7.27131,False,,,,,,False,0,5,0,False,,,,,,
p36,Sieben Schwestern,Sunnmøre,waterfall,62.10739,7.09376,False,,,,,,False,0,5,5,False,"Geiranger-Drone-20160725-16.jpg: L1: Unknown or restricted license: cc by 2.0; The Seven Sisters - De syv søstre (23537124219).jpg: L1: Unknown or restricted license: no restrictions; Seven Sisters Waterfall - Geirangerfjord, Norway - panoramio.jpg: L1: Unknown or restricted license: cc by-sa 3.0",,,,,
p37,Trollstigen Aussichtspunkt,Romsdal,scenic_road,62.455,7.67229,False,,,,,,False,0,5,5,False,"Trollstigvegen: L1: Unknown or restricted license: ; Untere Aussichtsplattform der Trollstigen.JPG: L1: Unknown or restricted license: cc by-sa 4.0; Trollstigen, Norway - panoramio.jpg: L1: Unknown or restricted license: cc by-sa 3.0",,,,,
p38,Gudbrandsjuvet,Sunnmøre,geology,62.33047,7.46983,False,,,,,,False,0,5,0,False,,,,,,
p39,Romsdalseggen,Romsdal,viewpoint,62.56107,7.71077,False,,,,,,False,0,5,0,False,,,,,,
p40,Rampestreken,Romsdal,viewpoint,62.56077,7.7126,False,,,,,,False,0,5,0,False,,,,,,
p41,Trollveggen,Romsdal,viewpoint,62.4896,7.76011,False,,,,,,False,0,5,0,False,,,,,,
p42,Mardalsfossen,Romsdal,waterfall,62.47149,8.11992,False,,,,,,False,0,5,0,False,,,,,,
p43,Atlanterhavsvegen: Eldhusøya,Nordmøre,scenic_road,63.02125,7.37189,False,,,,,,False,0,5,0,False,,,,,,
p44,Innerdalen,Nordmøre,lake,62.7219,8.77643,False,,,,,,False,0,5,0,False,,,,,,
p45,Snøhetta-Aussichtspunkt,Dovrefjell,wilderness,62.22386,9.49016,False,,,,,,False,0,5,0,False,,,,,,
p46,Rondane: Sohlbergplassen,Rondane,wilderness,61.88045,10.18487,False,,,,,,False,0,5,0,False,,,,,,
p47,Rondvassbu,Rondane,wilderness,61.88043,9.79598,False,,,,,,False,0,5,0,False,,,,,,
p48,Femundsmarka: Elgå,Innlandet,wilderness,62.16343,11.94461,False,,,,,,False,0,5,0,False,,,,,,
p49,Gaustatoppen,Telemark,viewpoint,59.85421,8.64926,False,,,,,,False,0,5,0,False,,,,,,
p50,Rjukanfossen,Telemark,waterfall,59.86644,8.47897,False,,,,,,False,0,5,0,False,,,,,,
p51,Husedalen,Hardanger,waterfall,60.3634,6.74379,False,,,,,,False,0,5,0,False,,,,,,
p52,Kviteseid: Hamaren Tretoppvei,Telemark,viewpoint,59.18243,8.08502,False,,,,,,False,0,5,0,False,,,,,,
p53,Verdens Ende,Vestfold,beach,59.05459,10.40564,False,,,,,,False,0,5,0,False,,,,,,
p54,Mølen,Vestfold,beach,58.97289,9.82253,False,,,,,,False,0,5,0,False,,,,,,
p55,Hvaler: Storesand,Østfold,beach,59.02488,11.01779,False,,,,,,False,0,5,0,False,,,,,,
p56,Kjerkeberget Nordmarka,Oslo,viewpoint,60.13528,10.61861,False,,,,,,False,0,5,0,False,,,,,,
p57,Østmarka: Nøklevann,Oslo,wilderness,59.88341,10.87824,False,,,,,,False,0,5,0,False,,,,,,
p58,Kolsåstoppen,Akershus,viewpoint,59.92977,10.51661,False,,,,,,False,0,5,0,False,,,,,,
p59,Torghatten,Helgeland,viewpoint,65.39834,12.09115,False,,,,,,False,0,5,1,False,Torghatten: L1: Unknown or restricted license: ,,,,,
p60,De syv søstre – Botnkrona,Helgeland,viewpoint,65.96168,12.62816,False,,,,,,False,0,5,0,False,,,,,,
p61,Vega: Eidemsliene,Helgeland,beach,65.61755,11.80893,False,,,,,,False,0,5,0,False,,,,,,
p62,Svartisen: Austerdalsisen,Helgeland,glacier,66.52099,14.10201,False,,,,,,False,0,5,0,False,,,,,,
p63,Saltstraumen,Nordland,beach,67.23214,14.61005,False,,,,,,False,0,5,0,False,,,,,,
p64,Mørsvikbotn: Rago Nationalpark,Nordland,wilderness,67.45258,15.77131,False,,,,,,False,0,5,0,False,,,,,,
p65,Mannen Hamarøy,Nordland,viewpoint,68.08072,15.40506,False,,,,,,False,0,5,0,False,,,,,,
p66,Reinebringen,Lofoten,viewpoint,67.92784,13.0714,False,,,,,,False,0,5,0,False,,,,,,
